Hedge Fund Name,CIK
Millennium Management LLC,0001273087
Citadel Advisors LLC,0001423053
"Bridgewater Associates, LP",0001350694
Balyasny Asset Management L.P.,0001218710
"Mariner Investment Group, LLC",NOT_FOUND
"Arrowstreet Capital, Limited Partnership",0001164508
Brookfield Asset Management Inc.,0001001085
"Point72 Asset Management, L.P.",0001603466
Artisan Partners Limited Partnership,0001466153
"AQR Capital Management, LLC",NOT_FOUND
"ClearBridge Investments, LLC",0001348883
"D. E. Shaw & Co., L.P.",NOT_FOUND
Renaissance Technologies LLC,0001037389
Garda Capital Partners LP,0001666905
Wilshire Advisors LLC,0001616628
Harris Associates L.P.,NOT_FOUND
Elliott Investment Management L.P.,0001791786
"ExodusPoint Capital Management, LP",0001736225
Cambridge Associates LLC,0000733986
Alphadyne Asset Management LP,0001535943
Fortress Investment Group LLC,0001245521
Squarepoint Capital LLP,0001647094
"Bracebridge Capital, LLC",0001426486
"Starwood Capital Group Global, L.P.",NOT_FOUND
"Two Sigma Investments, LP",0001179392
Davidson Kempner Capital Management LP,0001595082
Marshall Wace LLP,0001318757
Brevan Howard Asset Management LLP,0001415453
Wellington Management Company LLP,NOT_FOUND
Pacific Investment Management Company LLC (PIMCO),NOT_FOUND
Ruffer LLP,0001426859
"Anchorage Capital Group, L.L.C.",0001300714
"BlackRock, Inc.",0001364742
GoldenTree Asset Management LP,0001278951
"The Baupost Group, L.L.C.",NOT_FOUND
"Graham Capital Management, L.P.",0001315421
Hudson Bay Capital Management LP,0001393825
Appaloosa Management L.P.,NOT_FOUND
Systematica Investments Limited,NOT_FOUND
Magnetar Capital LLC,NOT_FOUND
Capital Fund Management S.A.,0001323645
Tudor Investment Corporation,NOT_FOUND
"Sculptor Capital Management, Inc.",0001403256
Winton Group Ltd,0001612063
UBS O'Connor LLC,0001132716
Cheyne Capital Management (UK) LLP,NOT_FOUND
Canyon Partners LLC,0001298304
Diameter Capital Partners LP,0001727012
Campbell & Company Investment Adviser LLC,NOT_FOUND
Paloma Partners Management Company,NOT_FOUND
SurgoCap Partners LLC,NOT_FOUND
"Senvest Management, LLC",0001328785
Quest Partners LLC,0001883897
"Shenkman Capital Management, Inc.",NOT_FOUND
"Boothbay Fund Management, LLC",0001549230
Bardin Hill Investment Partners LP,0001633312
"TIG Advisors, LLC",0001358253
Kepos Capital LP,0001512020
"Long Pond Capital, LP",0001499066
PGIM Fixed Income,0001894900
Hein Park Capital Management LP,0001826937
Welton Investment Partners LLC,NOT_FOUND
Massar Capital Management LP,NOT_FOUND
"Owl Creek Asset Management, L.P.",0001313756
"Electron Capital Partners, LLC",0001586986
Wexford Capital LP,0001048462
GAM Investments,NOT_FOUND
Two Seas Capital LP,0001823138
"Kingdon Capital Management, L.L.C.",0001000097
"Indus Capital Partners, LLC",0001350879
"Hunting Hill Global Capital, LLC",0001697398
"Cambrian Asset Management, Inc.",NOT_FOUND
"Anacapa Advisors, LLC",NOT_FOUND
"Hildene Capital Management, LLC",NOT_FOUND
"RTW Investments, LP",0001493215
